x,y,z,w,rho,grad,tau,exchange,reference
4.444468380978100E-05,0.000000000000000E+00,-7.022054529624500E-01,1.898206311140100E-15,3.420387059282400E-01,1.935261518330400E-01,1.368718320258000E-02,-1.536163966612100E-01,-1.986070955307850E-02
-4.444468380978100E-05,0.000000000000000E+00,-7.022054529624500E-01,1.898206311140100E-15,3.420387059282400E-01,1.935261518330400E-01,1.368718320258000E-02,-1.536163966612100E-01,-1.986070955307850E-02
0.000000000000000E+00,4.444468380978100E-05,-7.022054529624500E-01,1.898206311140100E-15,3.420387059282400E-01,1.935261518330400E-01,1.368718320258000E-02,-1.536163966612100E-01,-1.986070955307850E-02
0.000000000000000E+00,-4.444468380978100E-05,-7.022054529624500E-01,1.898206311140100E-15,3.420387059282400E-01,1.935261518330400E-01,1.368718320258000E-02,-1.536163966612100E-01,-1.986070955307850E-02
0.000000000000000E+00,0.000000000000000E+00,-7.021610082786400E-01,1.898206311140100E-15,3.420473074570400E-01,1.933681279562300E-01,1.366449614356100E-02,-1.536221271389500E-01,-1.986111480050490E-02
0.000000000000000E+00,0.000000000000000E+00,-7.022498976462600E-01,1.898206311140100E-15,3.420301050465900E-01,1.936840186464200E-01,1.370986739380600E-02,-1.536106666552200E-01,-1.986030435610900E-02
2.566015016162500E-05,2.566015016162500E-05,-7.021797928122900E-01,7.994314897137500E-15,3.420436719442500E-01,1.934349358933900E-01,1.367408517288000E-02,-1.536197050965200E-01,-1.986094351663330E-02
-2.566015016162500E-05,2.566015016162500E-05,-7.021797928122900E-01,7.994314897137500E-15,3.420436719442500E-01,1.934349358933900E-01,1.367408517288000E-02,-1.536197050965200E-01,-1.986094351663330E-02
2.566015016162500E-05,-2.566015016162500E-05,-7.021797928122900E-01,7.994314897137500E-15,3.420436719442500E-01,1.934349358933900E-01,1.367408517288000E-02,-1.536197050965200E-01,-1.986094351663330E-02
-2.566015016162500E-05,-2.566015016162500E-05,-7.021797928122900E-01,7.994314897137500E-15,3.420436719442500E-01,1.934349358933900E-01,1.367408517288000E-02,-1.536197050965200E-01,-1.986094351663330E-02
2.566015016162500E-05,2.566015016162500E-05,-7.022311131126200E-01,7.994314897137500E-15,3.420337401279500E-01,1.936173154182500E-01,1.370028027634900E-02,-1.536130883831600E-01,-1.986047560634370E-02
-2.566015016162500E-05,2.566015016162500E-05,-7.022311131126200E-01,7.994314897137500E-15,3.420337401279500E-01,1.936173154182500E-01,1.370028027634900E-02,-1.536130883831600E-01,-1.986047560634370E-02
2.566015016162500E-05,-2.566015016162500E-05,-7.022311131126200E-01,7.994314897137500E-15,3.420337401279500E-01,1.936173154182500E-01,1.370028027634900E-02,-1.536130883831600E-01,-1.986047560634370E-02
-2.566015016162500E-05,-2.566015016162500E-05,-7.022311131126200E-01,7.994314897137500E-15,3.420337401279500E-01,1.936173154182500E-01,1.370028027634900E-02,-1.536130883831600E-01,-1.986047560634370E-02
1.562515235477700E-05,1.562515235477700E-05,-7.021668908159000E-01,7.662623216503100E-15,3.420461689527100E-01,1.933890524562300E-01,1.366749908514900E-02,-1.536213686466000E-01,-1.986106116052680E-02
-1.562515235477700E-05,1.562515235477700E-05,-7.021668908159000E-01,7.662623216503100E-15,3.420461689527100E-01,1.933890524562300E-01,1.366749908514900E-02,-1.536213686466000E-01,-1.986106116052680E-02
1.562515235477700E-05,-1.562515235477700E-05,-7.021668908159000E-01,7.662623216503100E-15,3.420461689527100E-01,1.933890524562300E-01,1.366749908514900E-02,-1.536213686466000E-01,-1.986106116052680E-02
-1.562515235477700E-05,-1.562515235477700E-05,-7.021668908159000E-01,7.662623216503100E-15,3.420461689527100E-01,1.933890524562300E-01,1.366749908514900E-02,-1.536213686466000E-01,-1.986106116052680E-02
1.562515235477700E-05,1.562515235477700E-05,-7.022440151090100E-01,7.662623216503100E-15,3.420312433909600E-01,1.936631329716700E-01,1.370686516112100E-02,-1.536114250309600E-01,-1.986035798361450E-02
-1.562515235477700E-05,1.562515235477700E-05,-7.022440151090100E-01,7.662623216503100E-15,3.420312433909600E-01,1.936631329716700E-01,1.370686516112100E-02,-1.536114250309600E-01,-1.986035798361450E-02
1.562515235477700E-05,-1.562515235477700E-05,-7.022440151090100E-01,7.662623216503100E-15,3.420312433909600E-01,1.936631329716700E-01,1.370686516112100E-02,-1.536114250309600E-01,-1.986035798361450E-02
-1.562515235477700E-05,-1.562515235477700E-05,-7.022440151090100E-01,7.662623216503100E-15,3.420312433909600E-01,1.936631329716700E-01,1.370686516112100E-02,-1.536114250309600E-01,-1.986035798361450E-02
1.562515235477700E-05,3.856214655243400E-05,-7.021898278101000E-01,7.662623216503100E-15,3.420417298426400E-01,1.934706142440600E-01,1.367920757548900E-02,-1.536184112373100E-01,-1.986085201774570E-02
-1.562515235477700E-05,3.856214655243400E-05,-7.021898278101000E-01,7.662623216503100E-15,3.420417298426400E-01,1.934706142440600E-01,1.367920757548900E-02,-1.536184112373100E-01,-1.986085201774570E-02
1.562515235477700E-05,-3.856214655243400E-05,-7.021898278101000E-01,7.662623216503100E-15,3.420417298426400E-01,1.934706142440600E-01,1.367920757548900E-02,-1.536184112373100E-01,-1.986085201774570E-02
-1.562515235477700E-05,-3.856214655243400E-05,-7.021898278101000E-01,7.662623216503100E-15,3.420417298426400E-01,1.934706142440600E-01,1.367920757548900E-02,-1.536184112373100E-01,-1.986085201774570E-02
1.562515235477700E-05,3.856214655243400E-05,-7.022210781148100E-01,7.662623216503100E-15,3.420356820938300E-01,1.935816700094300E-01,1.369515847522000E-02,-1.536143821434200E-01,-1.986056709464560E-02
-1.562515235477700E-05,3.856214655243400E-05,-7.022210781148100E-01,7.662623216503100E-15,3.420356820938300E-01,1.935816700094300E-01,1.369515847522000E-02,-1.536143821434200E-01,-1.986056709464560E-02
1.562515235477700E-05,-3.856214655243400E-05,-7.022210781148100E-01,7.662623216503100E-15,3.420356820938300E-01,1.935816700094300E-01,1.369515847522000E-02,-1.536143821434200E-01,-1.986056709464560E-02
-1.562515235477700E-05,-3.856214655243400E-05,-7.022210781148100E-01,7.662623216503100E-15,3.420356820938300E-01,1.935816700094300E-01,1.369515847522000E-02,-1.536143821434200E-01,-1.986056709464560E-02
3.856214655243400E-05,1.562515235477700E-05,-7.021898278101000E-01,7.662623216503100E-15,3.420417298426400E-01,1.934706142440600E-01,1.367920757548900E-02,-1.536184112373100E-01,-1.986085201774570E-02
-3.856214655243400E-05,1.562515235477700E-05,-7.021898278101000E-01,7.662623216503100E-15,3.420417298426400E-01,1.934706142440600E-01,1.367920757548900E-02,-1.536184112373100E-01,-1.986085201774570E-02
